nw,time
1,26984.1
1,26993.4
1,26991.8
1,26993.7
1,26984.4
4,6804.82
4,6805.43
4,6811.94
4,6812.52
4,6803.93
16,1789.87
16,1851.29
16,1846.31
16,1849.91
16,1815.97
64,864.443
64,871.142
64,859.034
64,859.628
64,853.169
256,751.865
256,777.177
256,751.654
256,772.937
256,740.64
