1,100000,28456644
2,100000,14535869
3,100000,11239160
4,100000,8978259
5,100000,7628472
6,100000,6837039
7,100000,6278647
8,100000,5803243
9,100000,5438462
10,100000,5140389
11,100000,4904192
12,100000,4722218
13,100000,4533512
14,100000,4395693
15,100000,4289869
16,100000,4186418
17,100000,4110967
18,100000,4090164
19,100000,4033169
20,100000,3986836
21,100000,3942990
22,100000,3967277
23,100000,3953828
24,100000,3963445
25,100000,3951590
26,100000,3960485
27,100000,4002128
28,100000,3964839
29,100000,4029441
30,100000,4043474
31,100000,4111285
32,100000,4113610
33,100000,4187233
34,100000,4225967
35,100000,4344410
36,100000,4575943
37,100000,4367340
38,100000,4625660
39,100000,4538913
40,100000,4591333
41,100000,4640732
42,100000,4686242
43,100000,4771626
44,100000,4773080
45,100000,4892395
46,100000,4890294
47,100000,5011092
48,100000,5017845
49,100000,5274981
50,100000,5258530
