1,0.00284575,3.00498,0.0031664,0.00205415,0.00156317,293.961
2,0.00210425,5.33718,0.00300106,0.00184873,0.00179364,151.461
3,0.00230466,18.8747,0.00315972,0.00190385,0.00220448,114.148
4,0.00201657,20.5972,0.00284575,0.00170845,0.00174354,89.297
5,0.00297401,24.0274,0.00352913,0.0022285,0.00199405,76.3591
6,0.00254013,24.0235,0.0037459,0.00194226,0.00248504,66.8212
7,0.00274698,23.6206,0.0036259,0.00219014,0.00245498,57.9789
8,0.00259274,25.162,0.00442018,0.00199528,0.00259527,55.2188
9,0.00305283,25.7559,0.00336123,0.00262864,0.00314639,48.0516
10,0.00293593,26.9216,0.00384777,0.00238081,0.0030562,44.0536
